Prefix	FirstName	MiddleName	LastName	Suffix	Address	City	State	Zip+4	115 St/Dis	BioguideID	Party
The Honorable	Ralph	Lee	Abraham		417 Cannon House Office Building	Washington	DC	20515-1805	LA05	A000374	R
The Honorable	Alma	S.	Adams		222 Cannon House Office Building	Washington	DC	20515-3312	NC12	A000370	D
The Honorable	Robert	B.	Aderholt		235 Cannon House Office Building	Washington	DC	20515-0104	AL04	A000055	R
The Honorable	Pete		Aguilar		1223 Longworth House Office Building	Washington	DC	20515-0531	CA31	A000371	D
The Honorable	Rick	W.	Allen		426 Cannon House Office Building	Washington	DC	20515-1012	GA12	A000372	R
The Honorable	Justin		Amash		114 Cannon House Office Building	Washington	DC	20515-2203	MI03	A000367	R
The Honorable	Mark	E.	Amodei		332 Cannon House Office Building	Washington	DC	20515-2802	NV02	A000369	R
The Honorable	Jodey	C.	Arrington		1029 Longworth House Office Building	Washington	DC	20515-4319	TX19	A000375	R
The Honorable	Brian		Babin		316 Cannon House Office Building	Washington	DC	20515-4336	TX36	B001291	R
The Honorable	Don		Bacon		1516 Longworth House Office Building	Washington	DC	20515-2702	NE02	B001298	R
The Honorable	Jim		Banks		509 Cannon House Office Building	Washington	DC	20515-1403	IN03	B001299	R
The Honorable	Lou		Barletta		2049 Rayburn House Office Building	Washington	DC	20515-3811	PA11	B001269	R
The Honorable	Andy		Barr		1427 Longworth House Office Building	Washington	DC	20515-1706	KY06	B001282	R
The Honorable	Nanette	Diaz	Barragán		1320 Longworth House Office Building	Washington	DC	20515-0544	CA44	B001300	D
The Honorable	Joe		Barton		2107 Rayburn House Office Building	Washington	DC	20515-4306	TX06	B000213	R
The Honorable	Karen		Bass		2241 Rayburn House Office Building	Washington	DC	20515-0537	CA37	B001270	D
The Honorable	Joyce		Beatty		133 Cannon House Office Building	Washington	DC	20515-3503	OH03	B001281	D
The Honorable	Ami		Bera		1431 Longworth House Office Building	Washington	DC	20515-0507	CA07	B001287	D
The Honorable	Jack		Bergman		414 Cannon House Office Building	Washington	DC	20515-2201	MI01	B001301	R
The Honorable	Donald	S.	Beyer	Jr.	1119 Longworth House Office Building	Washington	DC	20515-4608	VA08	B001292	D
The Honorable	Andy		Biggs		1626 Longworth House Office Building	Washington	DC	20515-0305	AZ05	B001302	R
The Honorable	Gus	M.	Bilirakis		2112 Rayburn House Office Building	Washington	DC	20515-0912	FL12	B001257	R
The Honorable	Mike		Bishop		428 Cannon House Office Building	Washington	DC	20515-2208	MI08	B001293	R
The Honorable	Rob		Bishop		123 Cannon House Office Building	Washington	DC	20515-4401	UT01	B001250	R
The Honorable	Sanford	D.	Bishop	Jr.	2407 Rayburn House Office Building	Washington	DC	20515-1002	GA02	B000490	D
The Honorable	Diane		Black		1131 Longworth House Office Building	Washington	DC	20515-4206	TN06	B001273	R
The Honorable	Marsha		Blackburn		2266 Rayburn House Office Building	Washington	DC	20515-4207	TN07	B001243	R
The Honorable	Rod		Blum		1108 Longworth House Office Building	Washington	DC	20515-1501	IA01	B001294	R
The Honorable	Earl		Blumenauer		1111 Longworth House Office Building	Washington	DC	20515-3703	OR03	B000574	D
The Honorable	Lisa		Blunt Rochester		1123 Longworth House Office Building	Washington	DC	20515-0800	DE00	B001303	D
The Honorable	Suzanne		Bonamici		439 Cannon House Office Building	Washington	DC	20515-3701	OR01	B001278	D
The Honorable	Madeleine	Z.	Bordallo		2441 Rayburn House Office Building	Washington	DC	20515-5301	GU00	B001245	D
The Honorable	Mike		Bost		1440 Longworth House Office Building	Washington	DC	20515-1312	IL12	B001295	R
The Honorable	Brendan	F.	Boyle		1133 Longworth House Office Building	Washington	DC	20515-3813	PA13	B001296	D
The Honorable	Kevin		Brady		1011 Longworth House Office Building	Washington	DC	20515-4308	TX08	B000755	R
The Honorable	Robert	A.	Brady		2004 Rayburn House Office Building	Washington	DC	20515-3801	PA01	B001227	D
The Honorable	Dave		Brat		1628 Longworth House Office Building	Washington	DC	20515-4607	VA07	B001290	R
The Honorable	Jim		Bridenstine		216 Cannon House Office Building	Washington	DC	20515-3601	OK01	B001283	R
The Honorable	Mo		Brooks		2400 Rayburn House Office Building	Washington	DC	20515-0105	AL05	B001274	R
The Honorable	Susan	W.	Brooks		1030 Longworth House Office Building	Washington	DC	20515-1405	IN05	B001284	R
The Honorable	Anthony	G.	Brown		1505 Longworth House Office Building	Washington	DC	20515-2004	MD04	B001304	D
The Honorable	Julia		Brownley		1019 Longworth House Office Building	Washington	DC	20515-0526	CA26	B001285	D
The Honorable	Vern		Buchanan		2104 Rayburn House Office Building	Washington	DC	20515-0916	FL16	B001260	R
The Honorable	Ken		Buck		1130 Longworth House Office Building	Washington	DC	20515-0604	CO04	B001297	R
The Honorable	Larry		Bucshon		1005 Longworth House Office Building	Washington	DC	20515-1408	IN08	B001275	R
The Honorable	Ted		Budd		118 Cannon House Office Building	Washington	DC	20515-3313	NC13	B001305	R
The Honorable	Michael	C.	Burgess		2336 Rayburn House Office Building	Washington	DC	20515-4326	TX26	B001248	R
The Honorable	Cheri		Bustos		1009 Longworth House Office Building	Washington	DC	20515-1317	IL17	B001286	D
The Honorable	G.	K.	Butterfield		2080 Rayburn House Office Building	Washington	DC	20515-3301	NC01	B001251	D
The Honorable	Bradley		Byrne		119 Cannon House Office Building	Washington	DC	20515-0101	AL01	B001289	R
The Honorable	Ken		Calvert		2205 Rayburn House Office Building	Washington	DC	20515-0542	CA42	C000059	R
The Honorable	Michael	E.	Capuano		1414 Longworth House Office Building	Washington	DC	20515-2107	MA07	C001037	D
The Honorable	Salud	O.	Carbajal		212 Cannon House Office Building	Washington	DC	20515-0524	CA24	C001112	D
The Honorable	Tony		Cárdenas		1510 Longworth House Office Building	Washington	DC	20515-0529	CA29	C001097	D
The Honorable	André		Carson		2135 Rayburn House Office Building	Washington	DC	20515-1407	IN07	C001072	D
The Honorable	Earl	"L. ""Buddy"""	Carter		432 Cannon House Office Building	Washington	DC	20515-1001	GA01	C001103	R
The Honorable	John	R.	Carter		2110 Rayburn House Office Building	Washington	DC	20515-4331	TX31	C001051	R
The Honorable	Matt		Cartwright		1034 Longworth House Office Building	Washington	DC	20515-3817	PA17	C001090	D
The Honorable	Kathy		Castor		2052 Rayburn House Office Building	Washington	DC	20515-0914	FL14	C001066	D
The Honorable	Joaquin		Castro		1221 Longworth House Office Building	Washington	DC	20515-4320	TX20	C001091	D
The Honorable	Steve		Chabot		2371 Rayburn House Office Building	Washington	DC	20515-3501	OH01	C000266	R
The Honorable	Jason		Chaffetz		2236 Rayburn House Office Building	Washington	DC	20515-4403	UT03	C001076	R
The Honorable	Liz		Cheney		416 Cannon House Office Building	Washington	DC	20515-5000	WY00	C001109	R
The Honorable	Judy		Chu		2423 Rayburn House Office Building	Washington	DC	20515-0527	CA27	C001080	D
The Honorable	David	N.	Cicilline		2244 Rayburn House Office Building	Washington	DC	20515-3901	RI01	C001084	D
The Honorable	Katherine	M.	Clark		1415 Longworth House Office Building	Washington	DC	20515-2105	MA05	C001101	D
The Honorable	Yvette	D.	Clarke		2058 Rayburn House Office Building	Washington	DC	20515-3209	NY09	C001067	D
The Honorable	Wm.	Lacy	Clay		2428 Rayburn House Office Building	Washington	DC	20515-2501	MO01	C001049	D
The Honorable	Emanuel		Cleaver		2335 Rayburn House Office Building	Washington	DC	20515-2505	MO05	C001061	D
The Honorable	James	E.	Clyburn		242 Cannon House Office Building	Washington	DC	20515-4006	SC06	C000537	D
The Honorable	Mike		Coffman		2443 Rayburn House Office Building	Washington	DC	20515-0606	CO06	C001077	R
The Honorable	Steve		Cohen		2404 Rayburn House Office Building	Washington	DC	20515-4209	TN09	C001068	D
The Honorable	Tom		Cole		2467 Rayburn House Office Building	Washington	DC	20515-3604	OK04	C001053	R
The Honorable	Chris		Collins		1117 Longworth House Office Building	Washington	DC	20515-3227	NY27	C001092	R
The Honorable	Doug		Collins		1504 Longworth House Office Building	Washington	DC	20515-1009	GA09	C001093	R
The Honorable	James		Comer		1513 Longworth House Office Building	Washington	DC	20515-1701	KY01	C001108	R
The Honorable	Barbara		Comstock		229 Cannon House Office Building	Washington	DC	20515-4610	VA10	C001105	R
The Honorable	K.	Michael	Conaway		2430 Rayburn House Office Building	Washington	DC	20515-4311	TX11	C001062	R
The Honorable	Gerald	E.	Connolly		2238 Rayburn House Office Building	Washington	DC	20515-4611	VA11	C001078	D
The Honorable	John		Conyers	Jr.	2426 Rayburn House Office Building	Washington	DC	20515-2213	MI13	C000714	D
The Honorable	Paul		Cook		1222 Longworth House Office Building	Washington	DC	20515-0508	CA08	C001094	R
The Honorable	Jim		Cooper		1536 Longworth House Office Building	Washington	DC	20515-4205	TN05	C000754	D
The Honorable	J.	Luis	Correa		1039 Longworth House Office Building	Washington	DC	20515-0546	CA46	C001110	D
The Honorable	Jim		Costa		2081 Rayburn House Office Building	Washington	DC	20515-0516	CA16	C001059	D
The Honorable	Ryan	A.	Costello		326 Cannon House Office Building	Washington	DC	20515-3806	PA06	C001106	R
The Honorable	Joe		Courtney		2348 Rayburn House Office Building	Washington	DC	20515-0702	CT02	C001069	D
The Honorable	Kevin		Cramer		1717 Longworth House Office Building	Washington	DC	20515-3400	ND00	C001096	R
The Honorable	Eric	"A. ""Rick"""	Crawford		2422 Rayburn House Office Building	Washington	DC	20515-0401	AR01	C001087	R
The Honorable	Charlie		Crist		427 Cannon House Office Building	Washington	DC	20515-0913	FL13	C001111	D
The Honorable	Joseph		Crowley		1035 Longworth House Office Building	Washington	DC	20515-3214	NY14	C001038	D
The Honorable	Henry		Cuellar		2209 Rayburn House Office Building	Washington	DC	20515-4328	TX28	C001063	D
The Honorable	John	Abney	Culberson		2161 Rayburn House Office Building	Washington	DC	20515-4307	TX07	C001048	R
The Honorable	Elijah	E.	Cummings		2163 Rayburn House Office Building	Washington	DC	20515-2007	MD07	C000984	D
The Honorable	Carlos		Curbelo		1404 Longworth House Office Building	Washington	DC	20515-0926	FL26	C001107	R
The Honorable	Warren		Davidson		1004 Longworth House Office Building	Washington	DC	20515-3508	OH08	D000626	R
The Honorable	Danny	K.	Davis		2159 Rayburn House Office Building	Washington	DC	20515-1307	IL07	D000096	D
The Honorable	Rodney		Davis		1740 Longworth House Office Building	Washington	DC	20515-1313	IL13	D000619	R
The Honorable	Susan	A.	Davis		1214 Longworth House Office Building	Washington	DC	20515-0553	CA53	D000598	D
The Honorable	Peter	A.	DeFazio		2134 Rayburn House Office Building	Washington	DC	20515-3704	OR04	D000191	D
The Honorable	Diana		DeGette		2111 Rayburn House Office Building	Washington	DC	20515-0601	CO01	D000197	D
The Honorable	John	K.	Delaney		1632 Longworth House Office Building	Washington	DC	20515-2006	MD06	D000620	D
The Honorable	Rosa	L.	DeLauro		2413 Rayburn House Office Building	Washington	DC	20515-0703	CT03	D000216	D
The Honorable	Suzan	K.	DelBene		2442 Rayburn House Office Building	Washington	DC	20515-4701	WA01	D000617	D
The Honorable	Val	Butler	Demings		238 Cannon House Office Building	Washington	DC	20515-0910	FL10	D000627	D
The Honorable	Jeff		Denham		1730 Longworth House Office Building	Washington	DC	20515-0510	CA10	D000612	R
The Honorable	Charles	W.	Dent		2082 Rayburn House Office Building	Washington	DC	20515-3815	PA15	D000604	R
The Honorable	Ron		DeSantis		1524 Longworth House Office Building	Washington	DC	20515-0906	FL06	D000621	R
The Honorable	Mark		DeSaulnier		115 Cannon House Office Building	Washington	DC	20515-0511	CA11	D000623	D
The Honorable	Scott		DesJarlais		2301 Rayburn House Office Building	Washington	DC	20515-4204	TN04	D000616	R
The Honorable	Theodore	E.	Deutch		2447 Rayburn House Office Building	Washington	DC	20515-0922	FL22	D000610	D
The Honorable	Mario		Diaz-Balart		440 Cannon House Office Building	Washington	DC	20515-0925	FL25	D000600	R
The Honorable	Debbie		Dingell		116 Cannon House Office Building	Washington	DC	20515-2212	MI12	D000624	D
The Honorable	Lloyd		Doggett		2307 Rayburn House Office Building	Washington	DC	20515-4335	TX35	D000399	D
The Honorable	Daniel	M.	Donovan	Jr.	1541 Longworth House Office Building	Washington	DC	20515-3211	NY11	D000625	R
The Honorable	Michael	F.	Doyle		239 Cannon House Office Building	Washington	DC	20515-3814	PA14	D000482	D
The Honorable	Sean	P.	Duffy		2330 Rayburn House Office Building	Washington	DC	20515-4907	WI07	D000614	R
The Honorable	Jeff		Duncan		2229 Rayburn House Office Building	Washington	DC	20515-4003	SC03	D000615	R
The Honorable	John	J.	Duncan	Jr.	2207 Rayburn House Office Building	Washington	DC	20515-4202	TN02	D000533	R
The Honorable	Neal	P.	Dunn		423 Cannon House Office Building	Washington	DC	20515-0902	FL02	D000628	R
The Honorable	Keith		Ellison		2263 Rayburn House Office Building	Washington	DC	20515-2305	MN05	E000288	D
The Honorable	Tom		Emmer		315 Cannon House Office Building	Washington	DC	20515-2306	MN06	E000294	R
The Honorable	Eliot	L.	Engel		2462 Rayburn House Office Building	Washington	DC	20515-3216	NY16	E000179	D
The Honorable	Anna	G.	Eshoo		241 Cannon House Office Building	Washington	DC	20515-0518	CA18	E000215	D
The Honorable	Adriano		Espaillat		1630 Longworth House Office Building	Washington	DC	20515-3213	NY13	E000297	D
The Honorable	Elizabeth	H.	Esty		221 Cannon House Office Building	Washington	DC	20515-0705	CT05	E000293	D
The Honorable	Dwight		Evans		1105 Longworth House Office Building	Washington	DC	20515-3802	PA02	E000296	D
The Honorable	Blake		Farenthold		2331 Rayburn House Office Building	Washington	DC	20515-4327	TX27	F000460	R
The Honorable	John	J.	Faso		1616 Longworth House Office Building	Washington	DC	20515-3219	NY19	F000464	R
The Honorable	A.	Drew	Ferguson	IV	1032 Longworth House Office Building	Washington	DC	20515-1003	GA03	F000465	R
The Honorable	Brian	K.	Fitzpatrick		514 Cannon House Office Building	Washington	DC	20515-3808	PA08	F000466	R
The Honorable	Charles	"J. ""Chuck"""	Fleischmann		2410 Rayburn House Office Building	Washington	DC	20515-4203	TN03	F000459	R
The Honorable	Bill		Flores		2440 Rayburn House Office Building	Washington	DC	20515-4317	TX17	F000461	R
The Honorable	Jeff		Fortenberry		1514 Longworth House Office Building	Washington	DC	20515-2701	NE01	F000449	R
The Honorable	Bill		Foster		1224 Longworth House Office Building	Washington	DC	20515-1311	IL11	F000454	D
The Honorable	Virginia		Foxx		2262 Rayburn House Office Building	Washington	DC	20515-3305	NC05	F000450	R
The Honorable	Lois		Frankel		1037 Longworth House Office Building	Washington	DC	20515-0921	FL21	F000462	D
The Honorable	Trent		Franks		2435 Rayburn House Office Building	Washington	DC	20515-0308	AZ08	F000448	R
The Honorable	Rodney	P.	Frelinghuysen		2306 Rayburn House Office Building	Washington	DC	20515-3011	NJ11	F000372	R
The Honorable	Marcia	L.	Fudge		2344 Rayburn House Office Building	Washington	DC	20515-3511	OH11	F000455	D
The Honorable	Tulsi		Gabbard		1433 Longworth House Office Building	Washington	DC	20515-1102	HI02	G000571	D
The Honorable	Matt		Gaetz		507 Cannon House Office Building	Washington	DC	20515-0901	FL01	G000578	R
The Honorable	Mike		Gallagher		1007 Longworth House Office Building	Washington	DC	20515-4908	WI08	G000579	R
The Honorable	Ruben		Gallego		1218 Longworth House Office Building	Washington	DC	20515-0307	AZ07	G000574	D
The Honorable	John		Garamendi		2438 Rayburn House Office Building	Washington	DC	20515-0503	CA03	G000559	D
The Honorable	Thomas	A.	Garrett	Jr.	415 Cannon House Office Building	Washington	DC	20515-4605	VA05	G000580	R
The Honorable	Bob		Gibbs		2446 Rayburn House Office Building	Washington	DC	20515-3507	OH07	G000563	R
The Honorable	Louie		Gohmert		2243 Rayburn House Office Building	Washington	DC	20515-4301	TX01	G000552	R
The Honorable	Vicente		Gonzalez		113 Cannon House Office Building	Washington	DC	20515-4315	TX15	G000581	D
The Honorable	Jenniffer		González-Colón		1529 Longworth House Office Building	Washington	DC	20515-5401	PR00	G000582	R
The Honorable	Bob		Goodlatte		2309 Rayburn House Office Building	Washington	DC	20515-4606	VA06	G000289	R
The Honorable	Paul	A.	Gosar		2057 Rayburn House Office Building	Washington	DC	20515-0304	AZ04	G000565	R
The Honorable	Josh		Gottheimer		213 Cannon House Office Building	Washington	DC	20515-3005	NJ05	G000583	D
The Honorable	Trey		Gowdy		2418 Rayburn House Office Building	Washington	DC	20515-4004	SC04	G000566	R
The Honorable	Kay		Granger		1026 Longworth House Office Building	Washington	DC	20515-4312	TX12	G000377	R
The Honorable	Garret		Graves		430 Cannon House Office Building	Washington	DC	20515-1806	LA06	G000577	R
The Honorable	Sam		Graves		1135 Longworth House Office Building	Washington	DC	20515-2506	MO06	G000546	R
The Honorable	Tom		Graves		2078 Rayburn House Office Building	Washington	DC	20515-1014	GA14	G000560	R
The Honorable	Al		Green		2347 Rayburn House Office Building	Washington	DC	20515-4309	TX09	G000553	D
The Honorable	Gene		Green		2470 Rayburn House Office Building	Washington	DC	20515-4329	TX29	G000410	D
The Honorable	H.	Morgan	Griffith		2202 Rayburn House Office Building	Washington	DC	20515-4609	VA09	G000568	R
The Honorable	Raúl	M.	Grijalva		1511 Longworth House Office Building	Washington	DC	20515-0303	AZ03	G000551	D
The Honorable	Glenn		Grothman		1217 Longworth House Office Building	Washington	DC	20515-4906	WI06	G000576	R
The Honorable	Brett		Guthrie		2434 Rayburn House Office Building	Washington	DC	20515-1702	KY02	G000558	R
The Honorable	Luis	V.	Gutiérrez		2408 Rayburn House Office Building	Washington	DC	20515-1304	IL04	G000535	D
The Honorable	Colleen		Hanabusa		422 Cannon House Office Building	Washington	DC	20515-1101	HI01	H001050	D
The Honorable	Gregg		Harper		2227 Rayburn House Office Building	Washington	DC	20515-2403	MS03	H001045	R
The Honorable	Andy		Harris		1533 Longworth House Office Building	Washington	DC	20515-2001	MD01	H001052	R
The Honorable	Vicky		Hartzler		2235 Rayburn House Office Building	Washington	DC	20515-2504	MO04	H001053	R
The Honorable	Alcee	L.	Hastings		2353 Rayburn House Office Building	Washington	DC	20515-0920	FL20	H000324	D
The Honorable	Denny		Heck		425 Cannon House Office Building	Washington	DC	20515-4710	WA10	H001064	D
The Honorable	Jeb		Hensarling		2228 Rayburn House Office Building	Washington	DC	20515-4305	TX05	H001036	R
The Honorable	Jaime		Herrera Beutler		1107 Longworth House Office Building	Washington	DC	20515-4703	WA03	H001056	R
The Honorable	Jody	B.	Hice		324 Cannon House Office Building	Washington	DC	20515-1010	GA10	H001071	R
The Honorable	Brian		Higgins		2459 Rayburn House Office Building	Washington	DC	20515-3226	NY26	H001038	D
The Honorable	Clay		Higgins		1711 Longworth House Office Building	Washington	DC	20515-1803	LA03	H001077	R
The Honorable	J.	French	Hill		1229 Longworth House Office Building	Washington	DC	20515-0402	AR02	H001072	R
The Honorable	James	A.	Himes		1227 Longworth House Office Building	Washington	DC	20515-0704	CT04	H001047	D
The Honorable	George		Holding		1110 Longworth House Office Building	Washington	DC	20515-3302	NC02	H001065	R
The Honorable	Trey		Hollingsworth		1641 Longworth House Office Building	Washington	DC	20515-1409	IN09	H001074	R
The Honorable	Steny	H.	Hoyer		1705 Longworth House Office Building	Washington	DC	20515-2005	MD05	H000874	D
The Honorable	Richard		Hudson		429 Cannon House Office Building	Washington	DC	20515-3308	NC08	H001067	R
The Honorable	Jared		Huffman		1406 Longworth House Office Building	Washington	DC	20515-0502	CA02	H001068	D
The Honorable	Bill		Huizenga		2232 Rayburn House Office Building	Washington	DC	20515-2202	MI02	H001058	R
The Honorable	Randy		Hultgren		2455 Rayburn House Office Building	Washington	DC	20515-1314	IL14	H001059	R
The Honorable	Duncan		Hunter		2429 Rayburn House Office Building	Washington	DC	20515-0550	CA50	H001048	R
The Honorable	Will		Hurd		317 Cannon House Office Building	Washington	DC	20515-4323	TX23	H001073	R
The Honorable	Darrell	E.	Issa		2269 Rayburn House Office Building	Washington	DC	20515-0549	CA49	I000056	R
The Honorable	Sheila		Jackson Lee		2187 Rayburn House Office Building	Washington	DC	20515-4318	TX18	J000032	D
The Honorable	Pramila		Jayapal		319 Cannon House Office Building	Washington	DC	20515-4707	WA07	J000298	D
The Honorable	Hakeem	S.	Jeffries		1607 Longworth House Office Building	Washington	DC	20515-3208	NY08	J000294	D
The Honorable	Evan	H.	Jenkins		1609 Longworth House Office Building	Washington	DC	20515-4803	WV03	J000297	R
The Honorable	Lynn		Jenkins		1526 Longworth House Office Building	Washington	DC	20515-1602	KS02	J000290	R
The Honorable	Bill		Johnson		1710 Longworth House Office Building	Washington	DC	20515-3506	OH06	J000292	R
The Honorable	Eddie	Bernice	Johnson		2468 Rayburn House Office Building	Washington	DC	20515-4330	TX30	J000126	D
The Honorable	Henry	"C. ""Hank"""	Johnson	Jr.	2240 Rayburn House Office Building	Washington	DC	20515-1004	GA04	J000288	D
The Honorable	Mike		Johnson		327 Cannon House Office Building	Washington	DC	20515-1804	LA04	J000299	R
The Honorable	Sam		Johnson		2304 Rayburn House Office Building	Washington	DC	20515-4303	TX03	J000174	R
The Honorable	Walter	B.	Jones		2333 Rayburn House Office Building	Washington	DC	20515-3303	NC03	J000255	R
The Honorable	Jim		Jordan		2056 Rayburn House Office Building	Washington	DC	20515-3504	OH04	J000289	R
The Honorable	David	P.	Joyce		1124 Longworth House Office Building	Washington	DC	20515-3514	OH14	J000295	R
The Honorable	Marcy		Kaptur		2186 Rayburn House Office Building	Washington	DC	20515-3509	OH09	K000009	D
The Honorable	John		Katko		1620 Longworth House Office Building	Washington	DC	20515-3224	NY24	K000386	R
The Honorable	William	R.	Keating		2351 Rayburn House Office Building	Washington	DC	20515-2109	MA09	K000375	D
The Honorable	Mike		Kelly		1707 Longworth House Office Building	Washington	DC	20515-3803	PA03	K000376	R
The Honorable	Robin	L.	Kelly		1239 Longworth House Office Building	Washington	DC	20515-1302	IL02	K000385	D
The Honorable	Trent		Kelly		1721 Longworth House Office Building	Washington	DC	20515-2401	MS01	K000388	R
The Honorable	Joseph	P.	Kennedy	III	434 Cannon House Office Building	Washington	DC	20515-2104	MA04	K000379	D
The Honorable	Ro		Khanna		513 Cannon House Office Building	Washington	DC	20515-0517	CA17	K000389	D
The Honorable	Ruben		Kihuen		313 Cannon House Office Building	Washington	DC	20515-2804	NV04	K000390	D
The Honorable	Daniel	T.	Kildee		227 Cannon House Office Building	Washington	DC	20515-2205	MI05	K000380	D
The Honorable	Derek		Kilmer		1520 Longworth House Office Building	Washington	DC	20515-4706	WA06	K000381	D
The Honorable	Ron		Kind		1502 Longworth House Office Building	Washington	DC	20515-4903	WI03	K000188	D
The Honorable	Peter	T.	King		339 Cannon House Office Building	Washington	DC	20515-3202	NY02	K000210	R
The Honorable	Steve		King		2210 Rayburn House Office Building	Washington	DC	20515-1504	IA04	K000362	R
The Honorable	Adam		Kinzinger		2245 Rayburn House Office Building	Washington	DC	20515-1316	IL16	K000378	R
The Honorable	Stephen		Knight		1023 Longworth House Office Building	Washington	DC	20515-0525	CA25	K000387	R
The Honorable	Raja		Krishnamoorthi		515 Cannon House Office Building	Washington	DC	20515-1308	IL08	K000391	D
The Honorable	Ann	M.	Kuster		137 Cannon House Office Building	Washington	DC	20515-2902	NH02	K000382	D
The Honorable	David		Kustoff		508 Cannon House Office Building	Washington	DC	20515-4208	TN08	K000392	R
The Honorable	Raúl	R.	Labrador		1523 Longworth House Office Building	Washington	DC	20515-1201	ID01	L000573	R
